,compound,counter,date_created,negative,neutral,positive,source,text in tweet
57,-0.3612,17,2018-03-28 10:33:03,0.135,0.865,0.0,BBC,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw
56,0.0,16,2018-03-28 10:53:47,0.0,1.0,0.0,BBC,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…"
55,0.0,15,2018-03-28 11:04:03,0.0,1.0,0.0,BBC,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
54,0.3182,14,2018-03-28 11:30:09,0.056,0.837,0.108,BBC,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
53,0.0,13,2018-03-28 11:42:34,0.0,1.0,0.0,BBC,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
52,0.0,12,2018-03-28 11:45:32,0.0,1.0,0.0,BBC,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
51,-0.34,11,2018-03-28 11:47:08,0.098,0.902,0.0,BBC,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
50,0.0,10,2018-03-28 11:47:35,0.0,1.0,0.0,BBC,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
49,0.0,9,2018-03-28 11:49:07,0.0,1.0,0.0,BBC,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
48,0.0,8,2018-03-28 11:50:54,0.0,1.0,0.0,BBC,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
47,-0.3182,7,2018-03-28 12:26:01,0.113,0.887,0.0,BBC,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
46,0.0,6,2018-03-28 13:32:04,0.0,1.0,0.0,BBC,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
45,0.7506,5,2018-03-28 15:35:27,0.0,0.72,0.28,BBC,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
44,0.0,4,2018-03-28 16:00:10,0.0,1.0,0.0,BBC,Slacking off in Dubai. https://t.co/a3oSKIxfSK
43,-0.8225,3,2018-03-28 16:30:00,0.312,0.688,0.0,BBC,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
42,0.296,2,2018-03-28 17:00:12,0.0,0.891,0.109,BBC,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
41,0.0,1,2018-03-28 18:00:05,0.0,1.0,0.0,BBC,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
499,-0.6705,19,2018-03-29 03:32:03,0.285,0.633,0.081,The New York Times,A top Morgan Stanley broker was repeatedly accused of violence against ex-wives and girlfriends. Bank managers were… https://t.co/n5WfJMF3sA
498,-0.8625,18,2018-03-29 03:47:00,0.407,0.593,0.0,The New York Times,New police finding in Skripal poisoning case narrows the possibilities for how the victims were sickened https://t.co/8jQNusfhdi
497,0.2263,17,2018-03-29 03:54:55,0.249,0.395,0.356,The New York Times,"Mireille Knoll, Murdered Holocaust Survivor, Is Honored in Paris https://t.co/CK02eLDlje"
496,0.7783,16,2018-03-29 04:02:02,0.0,0.672,0.328,The New York Times,RT @maggieNYT: Trump called a supporter with a large megaphone - @therealroseanne - to thank her and congratulate her after the Roseanne re…
495,0.0,15,2018-03-29 04:08:47,0.0,1.0,0.0,The New York Times,"Anbang Was Seized by China. Now, It Has a Deal for You. https://t.co/3ZEHUjWgat"
494,0.0,14,2018-03-29 04:21:04,0.0,1.0,0.0,The New York Times,"Steven Spielberg ""is the only person who could have made this movie and the last person who should have been allowe… https://t.co/m9H7reZA3R"
493,-0.7778,13,2018-03-29 04:41:06,0.393,0.533,0.074,The New York Times,RT @EricSchmittNYT: American drone strike in Libya kills top Qaeda recruiter and official warns of more attacks  https://t.co/nrGvlVj6l2
492,0.0,12,2018-03-29 05:02:02,0.0,1.0,0.0,The New York Times,2 Texas oil companies joined forces in the biggest deal yet in the Southwestern oil patch https://t.co/iLzaXURm1T
491,0.4404,11,2018-03-29 05:21:04,0.0,0.756,0.244,The New York Times,"These arctic foxes turned ""blue."" It was a good thing. https://t.co/PA6vz2GcCr"
490,0.2023,10,2018-03-29 05:41:06,0.0,0.917,0.083,The New York Times,"RT @NYTmag: Floating villages spread across the surface of the Mekong River’s waterways, playing host to ethnic Vietnamese whose status in…"
299,0.0,19,2018-03-29 05:50:05,0.0,1.0,0.0,CNN,"Nearly six years after being shot in the face and neck by the Taliban for advocating for the rights of girls, 20-ye… https://t.co/KczXJChwpU"
489,0.0,9,2018-03-29 05:59:27,0.0,1.0,0.0,The New York Times,"Archaeologists believe the 13,000-year-old human footprints to be the earliest found so far in North America https://t.co/E0yEBAuT7n"
298,0.0,18,2018-03-29 06:01:02,0.0,1.0,0.0,CNN,"News that Cambridge Analytica, a data firm with ties to President Trump's campaign, reportedly accessed information… https://t.co/zXJxncqU4g"
297,0.0,17,2018-03-29 06:07:33,0.0,1.0,0.0,CNN,RT @cnni: Historic meeting of North and South Korean leaders set for April 27th https://t.co/MCWvkJbFcp
296,-0.5267,16,2018-03-29 06:10:06,0.212,0.707,0.082,CNN,"Trump's three-front legal war turns on sex, money and Russia | Analysis by @StCollinson https://t.co/WQOP3ShEXE https://t.co/jpwG3XLWym"
295,0.5267,15,2018-03-29 06:16:59,0.182,0.455,0.364,CNN,A 12-year-old boy who survived cancer finally got his wish: a kiss from Pope Francis https://t.co/KaRc60GdZu https://t.co/hbxtGVh4cr
294,0.0,14,2018-03-29 06:24:05,0.0,1.0,0.0,CNN,"Kim Jong Un and Moon Jae-in are going to meet on April 27th for the first time since 2007, the two countries announ… https://t.co/DBjzJS8ErG"
293,0.0,13,2018-03-29 06:31:05,0.0,1.0,0.0,CNN,"13,000-year-old footprints were found off the Canadian coast https://t.co/bOr0PIbBNC https://t.co/TXFETKOcG4"
488,0.6249,8,2018-03-29 06:31:05,0.0,0.83,0.17,The New York Times,RT @nytimesworld: Which makes sense? a) Pirate ships in a landlocked country; b) a 47-foot-high statue of Alexander the Great; c) a house d…
292,0.2263,12,2018-03-29 06:42:21,0.135,0.675,0.19,CNN,Boy in viral hug photo missing after family's car plunges off cliff https://t.co/nwFQnyi1GS
291,-0.5574,11,2018-03-29 06:43:06,0.146,0.854,0.0,CNN,"At least 68 people have died in a blaze that engulfed a jail in the Venezuelan city of Valencia, according to the c… https://t.co/FVr5jPb0kM"
290,0.5267,10,2018-03-29 06:55:24,0.182,0.455,0.364,CNN,A 12-year-old boy who survived cancer finally got his wish: a kiss from Pope Francis https://t.co/KaRc60GdZu https://t.co/QUhA0Y7TPB
40,0.0,0,2018-03-29 07:00:10,0.0,1.0,0.0,BBC,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
487,-0.6619,7,2018-03-29 07:02:05,0.318,0.531,0.151,The New York Times,"A waiter was fired for being combative, aggressive and something of a bully. His defense? He’s not rude. He’s Frenc… https://t.co/HcN22Hi1zA"
486,0.6808,6,2018-03-29 07:08:18,0.0,0.556,0.444,The New York Times,5 Cheap(ish) Things to Help You Become a Better Baker https://t.co/3DEGbcF9IT
289,-0.7845,9,2018-03-29 07:15:02,0.341,0.588,0.071,CNN,Major companies are rushing to cut ties with top Australian cricket players who have been banned for cheating https://t.co/tADMGFEDRp
485,0.3612,5,2018-03-29 07:17:07,0.138,0.646,0.215,The New York Times,"RT @nytimesworld: “She survived the Holocaust last century, I think she had a happy life, and yet she was killed at home in 2018, frail, an…"
288,-0.765,8,2018-03-29 07:22:05,0.423,0.577,0.0,CNN,Disgraced Aussie cricketers returning home after ball tampering ban https://t.co/aCnN6T0EuB https://t.co/L29OhHuw8Y
484,0.0,4,2018-03-29 07:26:50,0.0,1.0,0.0,The New York Times,North and South Korea Set a Date for Summit Meeting at Border https://t.co/OzOT8xXWRt
19,0.0,19,2018-03-29 07:27:07,0.0,1.0,0.0,BBC,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
39,0.0,19,2018-03-29 07:27:07,0.0,1.0,0.0,BBC,👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
483,-0.6369,3,2018-03-29 07:32:06,0.208,0.792,0.0,The New York Times,"The traditional Cambodian hatred of the ethnic Vietnamese is ""almost pathological."" As a result, the ethnic Vietnam… https://t.co/YnvHmoSf88"
287,0.5719,7,2018-03-29 07:40:05,0.0,0.709,0.291,CNN,Is art for pleasure or politics? https://t.co/Tht9kPmomp via @CNNStyle https://t.co/j216s534ZQ
286,0.0,6,2018-03-29 07:41:04,0.0,1.0,0.0,CNN,Two commercial pilots flying over the Arizona desert claim they saw an unidentified flying object pass overhead https://t.co/AoxqHuBT4h
482,-0.5423,2,2018-03-29 07:47:05,0.171,0.829,0.0,The New York Times,A Nazi-era law makes it a crime for German doctors to publicly advertise that they perform abortions. One gynecolog… https://t.co/hMpDzvBXg6
285,-0.3182,5,2018-03-29 07:51:06,0.108,0.892,0.0,CNN,So-called stumbling stones -- memorials to victims of the Holocaust -- bring history to life for a new generation o… https://t.co/lmRncp6va2
18,0.784,18,2018-03-29 08:00:12,0.0,0.655,0.345,BBC,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
38,0.784,18,2018-03-29 08:00:12,0.0,0.655,0.345,BBC,🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
481,-0.296,1,2018-03-29 08:02:06,0.155,0.845,0.0,The New York Times,All the major firings and resignations in the Trump administration — so far https://t.co/WKFrMOOi2e
480,0.6908,0,2018-03-29 08:14:03,0.0,0.737,0.263,The New York Times,"Thousands gathered in Paris to honor Mireille Knoll, an 85-year-old grandmother and Holocaust survivor who was murd… https://t.co/qKALIjEMpJ"
284,0.0,4,2018-03-29 08:14:30,0.0,1.0,0.0,CNN,The first case of super-resistant gonorrhea has been reported in the UK https://t.co/i2Xjjj1QmY https://t.co/z00NIFgHiO
283,0.0,3,2018-03-29 08:24:44,0.0,1.0,0.0,CNN,"The far right's ""noxious populism"" has seeped into the highest halls of power in Germany | @CNNOpinion https://t.co/w6OYMyIAsk"
479,0.0,19,2018-03-29 08:30:08,0.0,1.0,0.0,The New York Times,"Malala Yousafzai, the Pakistani activist for girls’ education, returned to Pakistan in her first visit since an att… https://t.co/LlfYLCzQ58"
282,0.0,2,2018-03-29 08:37:38,0.0,1.0,0.0,CNN,"A lanyard around her neck held an ID card from the International Organization for Migration.

""I am a refugee from… https://t.co/dNY589EbX0"
478,-0.6908,18,2018-03-29 08:45:03,0.271,0.729,0.0,The New York Times,"An emergency medical worker who was exposed to the nerve agent became ill after going to Sergei Skripal's house, su… https://t.co/CFibQllrCU"
281,0.0,1,2018-03-29 08:48:13,0.0,1.0,0.0,CNN,"Ireland, which has some of the strictest abortion laws in the developed world, will vote on whether abortion should… https://t.co/JXJ3vTlW2U"
280,0.0,0,2018-03-29 08:58:39,0.0,1.0,0.0,CNN,Plastic bottles make up a third of the litter in our oceans https://t.co/bRAerh1o2w
477,0.296,17,2018-03-29 09:00:12,0.0,0.885,0.115,The New York Times,"President Trump's lawyer discussed pardons for Michael Flynn and Paul Manafort last year, according to three people… https://t.co/07AMIMDgRr"
279,0.0772,19,2018-03-29 09:09:33,0.101,0.783,0.115,CNN,"Learn from the Holocaust and stop the massacre in Syria, say Holocaust survivor @EvaMozesKor and human rights activ… https://t.co/7tZ4OLCfQj"
476,-0.8625,16,2018-03-29 09:15:04,0.348,0.652,0.0,The New York Times,"At least 68 people died when a fire erupted during a riot at a jail in the northern Venezuelan city of Valencia, th… https://t.co/nsdFiGqvg9"
278,0.0,18,2018-03-29 09:20:10,0.0,1.0,0.0,CNN,This teen inventor is developing 20-foot air filters to rid cities of pollution https://t.co/8C6Icp7NjP
475,-0.4767,15,2018-03-29 09:30:11,0.147,0.853,0.0,The New York Times,"Ecuador suspended internet access for Julian Assange, the WikiLeaks founder who since 2012 has lived in Ecuador’s E… https://t.co/bsONTosvaX"
277,0.5994,17,2018-03-29 09:30:52,0.0,0.719,0.281,CNN,There's more to do in the Caribbean than beautiful beaches https://t.co/Lgj893cMP5
276,-0.296,16,2018-03-29 09:42:02,0.104,0.896,0.0,CNN,"The White House refused to answer if Trump was aware of a $130,000 payment made to porn star Stormy Daniels… https://t.co/hg3G7BrEBz"
474,-0.4588,14,2018-03-29 09:44:04,0.125,0.875,0.0,The New York Times,"""He threatened to burn down my house with me in it,"" one woman wrote in her application for a restraining order. ""H… https://t.co/QVE25KoUL5"
275,0.3612,15,2018-03-29 09:50:17,0.0,0.878,0.122,CNN,This is what life is like for would-be immigrants to the US from Mexico and Central America https://t.co/jfvm5dYRZc https://t.co/WuacEV8DrL
473,0.0,13,2018-03-29 10:00:19,0.0,1.0,0.0,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/a0SeLW9cx8 https://t.co/Yo3BKmpuVw
274,-0.7461,14,2018-03-29 10:01:06,0.346,0.654,0.0,CNN,There's not a 'snowflake's chance in hell' of repealing the Second Amendment | @CNNPolitics Analysis… https://t.co/jUoo3b3R2E
273,0.0,13,2018-03-29 10:12:31,0.0,1.0,0.0,CNN,Here's how to get the most for your money out of a plane ticket https://t.co/Q8FTiE47Xs https://t.co/6l2ypwiDTV
472,0.0,12,2018-03-29 10:16:01,0.0,1.0,0.0,The New York Times,Indian officials have been ordered to stay away from the Dalai Lama's rally thanking India for hosting his exile https://t.co/Wjdoz0O7h8
37,0.6908,17,2018-03-29 10:18:02,0.0,0.769,0.231,BBC,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
17,0.6908,17,2018-03-29 10:18:02,0.0,0.769,0.231,BBC,"RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
272,-0.4767,12,2018-03-29 10:23:42,0.134,0.866,0.0,CNN,"There are visible, external signs that can indicate if something is wrong with your heart -- check your fingers, ea… https://t.co/JYQe40u1hp"
471,0.0,11,2018-03-29 10:30:08,0.0,1.0,0.0,The New York Times,"In Opinion

David J. Shulkin writes: ""In recent months, the environment in Washington has turned so toxic, chaotic,… https://t.co/AEhlToRpOV"
271,0.3384,11,2018-03-29 10:34:52,0.0,0.888,0.112,CNN,This $200 billion solar power project in Saudi Arabia would generate far more energy than any existing solar project https://t.co/SIUG3TYcBE
470,0.0,10,2018-03-29 10:44:04,0.0,1.0,0.0,The New York Times,"North Korea’s leader, Kim Jong-un, and President Moon Jae-in of South Korea will meet for the first time on April 2… https://t.co/Y6HqEMb2cL"
270,0.0,10,2018-03-29 10:46:01,0.0,1.0,0.0,CNN,"SIDS -- long regarded as an unexplained phenomenon -- may have a genetic basis in some cases, a new study suggests… https://t.co/BYWperinTu"
269,0.25,9,2018-03-29 10:52:07,0.0,0.895,0.105,CNN,"The Democratic advantage on the generic congressional ballot has tightened to 6 percentage points, a new CNN poll c… https://t.co/mVmgSpFqpf"
268,-0.3052,8,2018-03-29 10:54:00,0.13,0.87,0.0,CNN,"Why Americans are so obsessed with the British royal family (besides the accents, obviously) https://t.co/apKejmFXSP https://t.co/S2SpEYT6fh"
469,0.0,9,2018-03-29 10:59:02,0.0,1.0,0.0,The New York Times,"RT @nytimesworld: For the first time since militants shot her 6 years ago simply because she wanted girls to be able to go to school, Malal…"
36,-0.6249,16,2018-03-29 11:00:21,0.295,0.581,0.124,BBC,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
16,-0.6249,16,2018-03-29 11:00:21,0.295,0.581,0.124,BBC,"This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
267,0.0,7,2018-03-29 11:03:17,0.0,1.0,0.0,CNN,This is literally the quietest place on Earth https://t.co/8g7T0e9sSg https://t.co/MIrkgW2g6Y
468,0.802,8,2018-03-29 11:14:03,0.0,0.675,0.325,The New York Times,"President Trump called Roseanne Barr to congratulate her on the revival of her comedy, ""Roseanne,"" and to thank her… https://t.co/64i024KWXP"
266,-0.8126,6,2018-03-29 11:27:38,0.331,0.669,0.0,CNN,A South African woman who hurled racist slurs at a black police officer has been sentenced to three years in prison  https://t.co/GKJhU0aCcI
467,0.0,7,2018-03-29 11:30:09,0.0,1.0,0.0,The New York Times,"Heineken pulled a series of commercials for light beer this week that featured the tagline “sometimes, lighter is b… https://t.co/mTsW3XyLNJ"
265,0.2023,5,2018-03-29 11:39:38,0.113,0.735,0.152,CNN,"Students, parents and friends of the Parkland shooting victims sorted through dozens of hand-written letters, poems… https://t.co/c291LnnlB1"
466,0.296,6,2018-03-29 11:41:01,0.0,0.896,0.104,The New York Times,The talks about possible pardons suggest that the White House was concerned about what Michael Flynn and Paul Manaf… https://t.co/k90k3WE2PR
465,0.0,5,2018-03-29 11:51:03,0.0,1.0,0.0,The New York Times,"In Opinion

Op-Ed columnist Lindy West writes: ""Transphobia is not a pet issue of the hypersensitive but a continui… https://t.co/5pv7ZR0qTe"
264,0.0,4,2018-03-29 11:51:15,0.0,1.0,0.0,CNN,A judge is expected to rule today whether it's excessive to keep the younger brother of the Parkland school shooter… https://t.co/zvzTHupjYW
464,0.0,4,2018-03-29 12:00:08,0.0,1.0,0.0,The New York Times,"Your daily @DealBook Briefing:

• Are we witnessing the end of a tech boom?
 
• President Trump wants to rein in Am… https://t.co/VMJOV91yOl"
263,-0.7783,3,2018-03-29 12:03:36,0.327,0.673,0.0,CNN,"David Shulkin, fired as Veterans Affairs secretary Wednesday, blasted the ""toxic, chaotic, disrespectful and subver… https://t.co/RTlZPRM1Ty"
463,0.34,3,2018-03-29 12:15:04,0.0,0.87,0.13,The New York Times,"Dana Carvey impersonated John Bolton, President Trump's incoming national security adviser, on ""The Late Show."" Our… https://t.co/Y7dFrzM7AJ"
262,0.2732,2,2018-03-29 12:16:30,0.0,0.877,0.123,CNN,"The President called Roseanne Barr, a vocal Trump supporter, after her series premiere received gangbuster ratings… https://t.co/zZvfjfEYpu"
462,0.5563,2,2018-03-29 12:29:02,0.0,0.796,0.204,The New York Times,"The reboot of ""Roseanne"" got off to an enormously strong start on Tuesday night https://t.co/fciUqSQft9"
261,-0.6124,1,2018-03-29 12:29:32,0.19,0.81,0.0,CNN,Soccer's world governing body FIFA says it's gathering evidence into racist chants directed at French players durin… https://t.co/ji5jNc3OcV
35,0.8268,15,2018-03-29 12:31:03,0.0,0.701,0.299,BBC,"Happy birthday to Alfred and Robert! 🎈 🎉 Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v"
15,0.8268,15,2018-03-29 12:31:03,0.0,0.701,0.299,BBC,"Happy birthday to Alfred and Robert! 🎈 🎉 Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v"
260,0.6808,0,2018-03-29 12:43:34,0.0,0.752,0.248,CNN,"Evangelical Jerry Falwell Jr. compares his support for President Trump to that of supporters of Bill Clinton, ""who… https://t.co/7kg7NvllWc"
461,0.4215,1,2018-03-29 12:46:02,0.0,0.872,0.128,The New York Times,"In 2014, one of the Hart family's six adopted children drew widespread attention when he was photographed hugging a… https://t.co/cl8LtWUh6I"
259,0.6369,19,2018-03-29 12:56:49,0.089,0.61,0.301,CNN,"This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt… https://t.co/jG7WQxg61Z"
460,0.0,0,2018-03-29 13:00:18,0.0,1.0,0.0,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/4Xted0wXzR https://t.co/3De96lruQp
258,-0.3182,18,2018-03-29 13:10:01,0.119,0.881,0.0,CNN,JUST IN: House Democrats are calling on the FBI to investigate whether Jared Kushner leaked classified information… https://t.co/SaiUdGB39s
459,0.2013,19,2018-03-29 13:17:06,0.121,0.645,0.234,The New York Times,"President Trump attacked Amazon, saying that it does not pay enough taxes and uses the United States postal system… https://t.co/xfNf0osQpD"
257,0.0,17,2018-03-29 13:20:37,0.0,1.0,0.0,CNN,Sony Pictures Television is co-developing three TV projects -- including a series on an all-female group warriors -… https://t.co/u5caRQcw7B
256,0.0,16,2018-03-29 13:29:02,0.0,1.0,0.0,CNN,Correct link: https://t.co/c56GtvSFBD
458,0.0,18,2018-03-29 13:31:06,0.0,1.0,0.0,The New York Times,"In Opinion

Op-Ed columnist @BretStephensNYT writes: ""What happens now will be a test for the global left: If it is… https://t.co/xqbFsrMCxC"
255,0.0,15,2018-03-29 13:31:20,0.0,1.0,0.0,CNN,Donald Trump Jr. hit back at former Florida Governor Jeb Bush on Twitter after Bush's remarks about having children… https://t.co/pYPYohqrNJ
254,0.0,14,2018-03-29 13:38:41,0.0,1.0,0.0,CNN,"Two commercial pilots flying over the Arizona desert claim they saw an unidentified flying object pass overhead, ac… https://t.co/nzA1botDwo"
457,-0.296,17,2018-03-29 13:44:05,0.171,0.714,0.114,The New York Times,"She died at 17, giving her life to the cause of Korean resistance to Japanese rule https://t.co/j259G6YI6P"
253,0.0,13,2018-03-29 13:45:57,0.0,1.0,0.0,CNN,The first case of super-resistant gonorrhea has been reported in the UK https://t.co/K8EfZkuPZn https://t.co/E5B7iheRl1
252,0.0,12,2018-03-29 13:53:19,0.0,1.0,0.0,CNN,"The ""Sharknado"" movies will end after sixth installment this summer https://t.co/1raeFLUGWR https://t.co/Zqi6BHGQKn"
456,-0.296,16,2018-03-29 14:00:22,0.155,0.845,0.0,The New York Times,All the major firings and resignations in the Trump administration — so far https://t.co/Zum0htqCdF
251,-0.5267,11,2018-03-29 14:05:00,0.212,0.707,0.082,CNN,"Trump's three-front legal war turns on sex, money and Russia | Analysis by @StCollinson https://t.co/ZoumQWiyBm https://t.co/Zmp55JPXyg"
34,0.0,14,2018-03-29 14:07:48,0.0,1.0,0.0,BBC,RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…
14,0.0,14,2018-03-29 14:07:48,0.0,1.0,0.0,BBC,RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…
399,0.0,19,2018-03-29 14:09:02,0.0,1.0,0.0,Fox News,"President @realDonaldTrump's sons @DonaldJTrumpJr and @EricTrump slammed @JebBush, who reportedly said that he has… https://t.co/ZOWpS7AN7M"
455,0.4767,15,2018-03-29 14:11:06,0.115,0.639,0.246,The New York Times,"Rusty Staub, a fan favorite for the New York Mets who played in the majors for more than two decades, has died at 73 https://t.co/Tcjj8dj7GK"
250,0.2732,10,2018-03-29 14:17:41,0.154,0.648,0.198,CNN,The British bank Barclays has agreed to pay the United States $2 billion for allegedly deceiving investors about mo… https://t.co/pUFKThJhtH
398,0.0,18,2018-03-29 14:19:57,0.0,1.0,0.0,Fox News,".@kayleighmcenany: ""Our RNC internal polling shows that in every single one of our target states there is a positiv… https://t.co/ZL1WtaS5n9"
454,0.3182,14,2018-03-29 14:21:06,0.097,0.705,0.198,The New York Times,"To secure trade agreements quickly, the White House has taken a contentious approach to negotiations not seen in de… https://t.co/reV37SloPb"
33,0.0,13,2018-03-29 14:21:11,0.0,1.0,0.0,BBC,"🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho"
13,0.0,13,2018-03-29 14:21:11,0.0,1.0,0.0,BBC,"🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho"
397,0.6369,17,2018-03-29 14:24:15,0.0,0.656,0.344,Fox News,Fox News Poll: Best describes feelings about economy. https://t.co/OW9JI46KbM
396,0.0,16,2018-03-29 14:25:49,0.0,1.0,0.0,Fox News,".@kayleighmcenany: ""We have a pro-jobs, pro-business president in the @WhiteHouse who is looking out for the people… https://t.co/DmXlsq17O6"
249,0.0,9,2018-03-29 14:29:38,0.0,1.0,0.0,CNN,Are Trump and congressional Republicans really on the rise or is it only a statistical illusion?｜ Analysis by Harry… https://t.co/0TqcDpOWkj
453,0.4854,13,2018-03-29 14:30:04,0.0,0.853,0.147,The New York Times,"RT @nytimesarts: ""I had all the fame and the money and everything that went with it, but I started realizing what was important to me was m…"
395,-0.6249,15,2018-03-29 14:34:04,0.231,0.769,0.0,Fox News,"On @foxandfriends, @DLoesch talked about her son, who complained that when the media covers the gun control debate,… https://t.co/2YngjPt2Ks"
248,-0.4404,8,2018-03-29 14:41:28,0.195,0.805,0.0,CNN,"Bumble is now countersuing Tinder's parent company, seeking $400 million in damages https://t.co/wu2oO7WUTH"
452,0.0,12,2018-03-29 14:45:08,0.0,1.0,0.0,The New York Times,"""The business that she's in — I'm sorry,"" said Debbie Lesko, a Republican candidate for Congress, about Stormy Dani… https://t.co/TmWSzHRB74"
247,0.3818,7,2018-03-29 14:53:09,0.0,0.66,0.34,CNN,Trump vs. Amazon: Let's set the record straight https://t.co/wLAg12acye
451,0.0,11,2018-03-29 15:01:26,0.0,1.0,0.0,The New York Times,It's #OpeningDay of 🌭 season https://t.co/oSE1ImH7yJ
394,0.3612,14,2018-03-29 15:01:54,0.075,0.755,0.17,Fox News,Rare video released of U.S. special operators on raid to target ISIS fighters. https://t.co/YGiFTTZ68I
450,0.3612,10,2018-03-29 15:02:10,0.0,0.828,0.172,The New York Times,In case you'd like some baseball to go with your hot dogs: https://t.co/rNN6Muqx7Q
12,0.0,12,2018-03-29 15:04:02,0.0,1.0,0.0,BBC,"😂 So, who's going out tonight? https://t.co/u2L4sEKjE2"
32,0.0,12,2018-03-29 15:04:02,0.0,1.0,0.0,BBC,"😂 So, who's going out tonight? https://t.co/u2L4sEKjE2"
393,-0.2263,13,2018-03-29 15:04:25,0.16,0.84,0.0,Fox News,"Jesus was 'drag king' with 'queer desires,' claims theology professor https://t.co/7wnpx910pu"
246,0.0,6,2018-03-29 15:05:25,0.0,1.0,0.0,CNN,President Trump's plan to fix America's infrastructure by leveraging local and state tax dollars and private invest… https://t.co/R5G7uzG6DV
392,0.0,12,2018-03-29 15:14:57,0.0,1.0,0.0,Fox News,"California man tried to arrange to have sex with 4-year-old girl, police say https://t.co/MOU0ECCd0O"
449,0.0,9,2018-03-29 15:15:06,0.0,1.0,0.0,The New York Times,"Gym.
Tan.
Laundry.
Check on the kids. 
https://t.co/YtSTBB01iy"
245,0.25,5,2018-03-29 15:18:30,0.0,0.895,0.105,CNN,"Sarah Jessica Parker has endorsed her ""Sex and the City"" costar Cynthia Nixon for New York governor… https://t.co/eJDqKKI8KX"
391,0.0,11,2018-03-29 15:21:15,0.0,1.0,0.0,Fox News,China's Tiangong-1 space lab set to fall to Earth: What to expect https://t.co/gFAEkUi1W4
